Algorithm , InputType , Size , Time , Comparisons , MaxDepth
MergeSort , Random, 100,44800,543,5
QuickSort , Random, 100,71900,612,5
MergeSort , Sorted, 100,34400,288,5
QuickSort , Sorted, 100,100500,689,5
MergeSort , Reverse, 100,39800,460,5
QuickSort , Reverse, 100,75400,639,5
MergeSort , Duplicate, 100,44000,561,5
QuickSort , Duplicate, 100,73200,780,4
DeterministicSelect , Random, 100,160200,338,7
ClosestPair , Random, 100,2367700,124,7
MergeSort , Random, 1000,640900,9148,8
QuickSort , Random, 1000,725800,12443,6
MergeSort , Sorted, 1000,408800,4404,8
QuickSort , Sorted, 1000,629400,11062,7
MergeSort , Reverse, 1000,530200,6892,8
QuickSort , Reverse, 1000,629800,10822,7
MergeSort , Duplicate, 1000,93100,8741,8
QuickSort , Duplicate, 1000,1759600,53443,4
DeterministicSelect , Random, 1000,864700,3123,10
ClosestPair , Random, 1000,8379400,1159,10
MergeSort , Random, 10000,1066100,127041,11
QuickSort , Random, 10000,739200,147669,10
MergeSort , Sorted, 10000,496300,59248,11
QuickSort , Sorted, 10000,614300,160909,9
MergeSort , Reverse, 10000,627500,93133,11
QuickSort , Reverse, 10000,463600,159194,9
MergeSort , Duplicate, 10000,804400,121530,11
QuickSort , Duplicate, 10000,6373800,5030636,5
DeterministicSelect , Random, 10000,1408700,35076,14
ClosestPair , Random, 10000,56786000,12397,13
